state,x,y
Andhra Pradesh,-61,-164
Arunachal Pradesh,221,100
Assam,199,61
Bihar,64,49
Delhi,-96,109
Goa,-155,-157
Gujarat,-205,-9
Haryana,-111,124
Himachal Pradesh,-97,181
Jharkhand,50,6
Karnataka,-130,-172
Kerala,-110,-251
Madhya Pradesh,-77,-3
Maharashtra,-135,-79
Manipur,217,31
Meghalaya,159,41
Mizoram,194,-3
Nagaland,226,54
Odisha,32,-57
Punjab,-131,157
Rajasthan,-171,68
Sikkim,114,87
Tamil Nadu,-78,-245
Telangana,-68,-103
Tripura,170,6
Uttar Pradesh,-32,69
Uttarakhand,-56,144
West Bengal,103,-6
Jammu And Kashmir,-129,237
